"exp_id","date","rep_id","time","strain","dox","OD0","OD"
9,2025-03-20,1,8,"t1516",8,0.05,0.555
9,2025-03-20,1,8,"t1516",4,0.05,0.433
9,2025-03-20,1,8,"t1516",2,0.05,0.597
9,2025-03-20,1,8,"t1516",1,0.05,0.535
9,2025-03-20,1,8,"t1516",0,0.05,0.624
9,2025-03-20,2,8,"t1516",512,0.05,0.283
9,2025-03-20,2,8,"t1516",256,0.05,0.434
9,2025-03-20,2,8,"t1516",128,0.05,0.425
9,2025-03-20,2,8,"t1516",64,0.05,0.505
9,2025-03-20,2,8,"t1516",32,0.05,0.509
9,2025-03-20,2,8,"t1516",16,0.05,0.587
9,2025-03-20,2,8,"t1516",8,0.05,0.51
9,2025-03-20,2,8,"t1516",4,0.05,0.478
9,2025-03-20,2,8,"t1516",2,0.05,0.54
9,2025-03-20,2,8,"t1516",1,0.05,0.496
9,2025-03-20,2,8,"t1516",0,0.05,0.612
9,2025-03-20,1,8,"t1516",512,0.1,0.478
9,2025-03-20,1,8,"t1516",256,0.1,0.609
9,2025-03-20,1,8,"t1516",128,0.1,0.651
9,2025-03-20,1,8,"t1516",64,0.1,0.673
9,2025-03-20,1,8,"t1516",32,0.1,0.673
9,2025-03-20,1,8,"t1516",16,0.1,0.737
9,2025-03-20,1,8,"t1516",8,0.1,0.664
9,2025-03-20,1,8,"t1516",4,0.1,0.668
9,2025-03-20,1,8,"t1516",2,0.1,0.747
9,2025-03-20,1,8,"t1516",1,0.1,0.657
9,2025-03-20,1,8,"t1516",0,0.1,0.906
9,2025-03-20,2,8,"t1516",512,0.1,0.231
9,2025-03-20,2,8,"t1516",256,0.1,0.334
9,2025-03-20,2,8,"t1516",128,0.1,0.439
9,2025-03-20,2,8,"t1516",64,0.1,0.43
9,2025-03-20,2,8,"t1516",32,0.1,0.631
9,2025-03-20,2,8,"t1516",16,0.1,0.484
9,2025-03-20,2,8,"t1516",8,0.1,0.41
9,2025-03-20,2,8,"t1516",4,0.1,0.547
9,2025-03-20,2,8,"t1516",2,0.1,0.457
9,2025-03-20,2,8,"t1516",1,0.1,0.493
9,2025-03-20,2,8,"t1516",0,0.1,0.597
9,2025-03-20,1,9,"h1471",512,0.01,0.036
9,2025-03-20,1,9,"h1471",256,0.01,0.1
9,2025-03-20,1,9,"h1471",128,0.01,0.083
9,2025-03-20,1,9,"h1471",64,0.01,0.169
9,2025-03-20,1,9,"h1471",32,0.01,0.145
9,2025-03-20,1,9,"h1471",16,0.01,0.275
9,2025-03-20,1,9,"h1471",8,0.01,0.332
9,2025-03-20,1,9,"h1471",4,0.01,0.286
9,2025-03-20,1,9,"h1471",2,0.01,0.28
9,2025-03-20,1,9,"h1471",1,0.01,0.291
9,2025-03-20,1,9,"h1471",0,0.01,0.395
9,2025-03-20,2,9,"h1471",512,0.01,0.083
9,2025-03-20,2,9,"h1471",256,0.01,0.169
9,2025-03-20,2,9,"h1471",128,0.01,0.145
9,2025-03-20,2,9,"h1471",64,0.01,0.275
9,2025-03-20,2,9,"h1471",32,0.01,0.332
9,2025-03-20,2,9,"h1471",16,0.01,0.286
9,2025-03-20,2,9,"h1471",8,0.01,0.28
9,2025-03-20,2,9,"h1471",4,0.01,0.291
